event_name,eventregion,playername
Champions Tour 2024: Masters Madrid,International,N4RRATE
Champions Tour 2024: Masters Madrid,International,Less
Champions Tour 2024: Masters Madrid,International,tuyz
Champions Tour 2024: Masters Madrid,International,MiniBoo
Champions Tour 2024: Masters Madrid,International,RieNs
Champions Tour 2024: Masters Madrid,International,zekken
Champions Tour 2024: Masters Madrid,International,johnqt
Champions Tour 2024: Masters Madrid,International,cauanzin
Champions Tour 2024: Masters Madrid,International,Munchkin
Champions Tour 2024: Masters Madrid,International,TenZ
Champions Tour 2024: Masters Madrid,International,Karon
Champions Tour 2024: Masters Madrid,International,something
Champions Tour 2024: Masters Madrid,International,Meteor
Champions Tour 2024: Masters Madrid,International,t3xture
Champions Tour 2024: Masters Madrid,International,MAGNUM
Champions Tour 2024: Masters Madrid,International,benjyfishy
Champions Tour 2024: Masters Madrid,International,saadhak
Champions Tour 2024: Masters Madrid,International,f0rsakeN
Champions Tour 2024: Masters Madrid,International,marteen
Champions Tour 2024: Masters Madrid,International,Zellsis
Champions Tour 2024: Masters Madrid,International,Autumn
Champions Tour 2024: Masters Madrid,International,ZmjjKK
Champions Tour 2024: Masters Madrid,International,Smoggy
Champions Tour 2024: Masters Madrid,International,d4v41
Champions Tour 2024: Masters Madrid,International,Sacy
Champions Tour 2024: Masters Madrid,International,sh1n
Champions Tour 2024: Masters Madrid,International,Quick
Champions Tour 2024: Masters Madrid,International,Life
Champions Tour 2024: Masters Madrid,International,Boo
Champions Tour 2024: Masters Madrid,International,Monyet
Champions Tour 2024: Masters Madrid,International,nobody
Champions Tour 2024: Masters Madrid,International,Lakia
Champions Tour 2024: Masters Madrid,International,CHICHOO
Champions Tour 2024: Masters Madrid,International,paTiTek
Champions Tour 2024: Masters Madrid,International,mindfreak
Champions Tour 2024: Masters Madrid,International,Lysoar
Champions Tour 2024: Masters Madrid,International,tomaszy
Champions Tour 2024: Masters Madrid,International,Haodong
Champions Tour 2024: Masters Madrid,International,BerLIN
Champions Tour 2024: Masters Madrid,International,AAAAY
Champions Tour 2024: Masters Shanghai,International,Boo
Champions Tour 2024: Masters Shanghai,International,nobody
Champions Tour 2024: Masters Shanghai,International,Meteor
Champions Tour 2024: Masters Shanghai,International,Karon
Champions Tour 2024: Masters Shanghai,International,C0M
Champions Tour 2024: Masters Shanghai,International,tex
Champions Tour 2024: Masters Shanghai,International,Mazino
Champions Tour 2024: Masters Shanghai,International,aspas
Champions Tour 2024: Masters Shanghai,International,kiNgg
Champions Tour 2024: Masters Shanghai,International,Jinggg
Champions Tour 2024: Masters Shanghai,International,mindfreak
Champions Tour 2024: Masters Shanghai,International,f0rsakeN
Champions Tour 2024: Masters Shanghai,International,d4v41
Champions Tour 2024: Masters Shanghai,International,something
Champions Tour 2024: Masters Shanghai,International,ZmjjKK
Champions Tour 2024: Masters Shanghai,International,Munchkin
Champions Tour 2024: Masters Shanghai,International,Haodong
Champions Tour 2024: Masters Shanghai,International,Smoggy
Champions Tour 2024: Masters Shanghai,International,CHICHOO
Champions Tour 2024: Masters Shanghai,International,Asuna
Champions Tour 2024: Masters Shanghai,International,Boostio
Champions Tour 2024: Masters Shanghai,International,eeiu
Champions Tour 2024: Masters Shanghai,International,bang
Champions Tour 2024: Masters Shanghai,International,Cryocells
Champions Tour 2024: Masters Shanghai,International,Boaster
Champions Tour 2024: Masters Shanghai,International,Chronicle
Champions Tour 2024: Masters Shanghai,International,Leo
Champions Tour 2024: Masters Shanghai,International,Derke
Champions Tour 2024: Masters Shanghai,International,t3xture
Champions Tour 2024: Masters Shanghai,International,Lakia
Champions Tour 2024: Masters Shanghai,International,RieNs
Champions Tour 2024: Masters Shanghai,International,Lysoar
Champions Tour 2024: Masters Shanghai,International,paTiTek
Champions Tour 2024: Masters Shanghai,International,Wo0t
Champions Tour 2024: Masters Shanghai,International,benjyfishy
Champions Tour 2024: Masters Shanghai,International,vo0kashu
Champions Tour 2024: Masters Shanghai,International,nizhaoTZH
Champions Tour 2024: Masters Shanghai,International,TvirusLuke
Champions Tour 2024: Masters Shanghai,International,Nicc
Champions Tour 2024: Masters Shanghai,International,Shion7
Champions Tour 2024: Masters Shanghai,International,Autumn
Champions Tour 2024: Masters Shanghai,International,Life
Champions Tour 2024: Masters Shanghai,International,BerLIN
Champions Tour 2024: Masters Shanghai,International,AAAAY
Champions Tour 2024: Masters Shanghai,International,cNed
Champions Tour 2024: Masters Shanghai,International,Carpe
Champions Tour 2024: Masters Shanghai,International,qRaxs
Champions Tour 2024: Masters Shanghai,International,AtaKaptan
Champions Tour 2024: Masters Shanghai,International,MrFaliN
Champions Tour 2024: Masters Shanghai,International,yetujey
Champions Tour 2024: Masters Shanghai,International,valyn
Champions Tour 2024: Masters Shanghai,International,JonahP
Champions Tour 2024: Masters Shanghai,International,leaf
Champions Tour 2024: Masters Shanghai,International,icy
Champions Tour 2024: Masters Shanghai,International,trent
Champions Tour 2024: Masters Shanghai,International,Rossy
Champions Tour 2024: Masters Shanghai,International,Sayaplayer
Champions Tour 2024: Masters Shanghai,International,xccurate
Champions Tour 2024: Masters Shanghai,International,iZu
Champions Tour 2024: Masters Shanghai,International,Alfajer
