playername,teamname,teamnameabr
N4RRATE,Karmine Corp,KC
Less,LOUD,LOUD
tuyz,LOUD,LOUD
MiniBoo,Team Heretics,TH
RieNs,Team Heretics,TH
zekken,Sentinels,SEN
johnqt,Sentinels,SEN
cauanzin,LOUD,LOUD
Munchkin,Gen.G,GEN
TenZ,Sentinels,SEN
Karon,Gen.G,GEN
something,Paper Rex,PRX
Meteor,Gen.G,GEN
t3xture,Gen.G,GEN
MAGNUM,Karmine Corp,KC
benjyfishy,Team Heretics,TH
saadhak,LOUD,LOUD
f0rsakeN,Paper Rex,PRX
marteen,Karmine Corp,KC
Zellsis,Sentinels,SEN
Autumn,FunPlus Phoenix,FPX
ZmjjKK,EDward Gaming,EDG
Smoggy,EDward Gaming,EDG
d4v41,Paper Rex,PRX
Sacy,Sentinels,SEN
sh1n,Karmine Corp,KC
Quick,LOUD,LOUD
Life,FunPlus Phoenix,FPX
Boo,Team Heretics,TH
Monyet,Paper Rex,PRX
nobody,EDward Gaming,EDG
Lakia,Gen.G,GEN
CHICHOO,EDward Gaming,EDG
paTiTek,Team Heretics,TH
mindfreak,Paper Rex,PRX
Lysoar,FunPlus Phoenix,FPX
tomaszy,Karmine Corp,KC
Haodong,EDward Gaming,EDG
BerLIN,FunPlus Phoenix,FPX
AAAAY,FunPlus Phoenix,FPX
Boo,Team Heretics,TH
nobody,EDward Gaming,EDG
Meteor,Gen.G,GEN
Karon,Gen.G,GEN
C0M,LEVIATÁN,LEV
tex,LEVIATÁN,LEV
Mazino,LEVIATÁN,LEV
aspas,LEVIATÁN,LEV
kiNgg,LEVIATÁN,LEV
Jinggg,Paper Rex,PRX
mindfreak,Paper Rex,PRX
f0rsakeN,Paper Rex,PRX
d4v41,Paper Rex,PRX
something,Paper Rex,PRX
ZmjjKK,EDward Gaming,EDG
Munchkin,Gen.G,GEN
Haodong,EDward Gaming,EDG
Smoggy,EDward Gaming,EDG
CHICHOO,EDward Gaming,EDG
Asuna,100 Thieves,100T
Boostio,100 Thieves,100T
eeiu,100 Thieves,100T
bang,100 Thieves,100T
Cryocells,100 Thieves,100T
Boaster,FNATIC,FNC
Chronicle,FNATIC,FNC
Leo,FNATIC,FNC
Derke,FNATIC,FNC
t3xture,Gen.G,GEN
Lakia,Gen.G,GEN
RieNs,Team Heretics,TH
Lysoar,FunPlus Phoenix,FPX
paTiTek,Team Heretics,TH
Wo0t,Team Heretics,TH
benjyfishy,Team Heretics,TH
vo0kashu,Dragon Ranger Gaming,DRG
nizhaoTZH,Dragon Ranger Gaming,DRG
TvirusLuke,Dragon Ranger Gaming,DRG
Nicc,Dragon Ranger Gaming,DRG
Shion7,Dragon Ranger Gaming,DRG
Autumn,FunPlus Phoenix,FPX
Life,FunPlus Phoenix,FPX
BerLIN,FunPlus Phoenix,FPX
AAAAY,FunPlus Phoenix,FPX
cNed,FUT Esports,FUT
Carpe,T1,T1
qRaxs,FUT Esports,FUT
AtaKaptan,FUT Esports,FUT
MrFaliN,FUT Esports,FUT
yetujey,FUT Esports,FUT
valyn,G2 Esports,G2
JonahP,G2 Esports,G2
leaf,G2 Esports,G2
icy,G2 Esports,G2
trent,G2 Esports,G2
Rossy,T1,T1
Sayaplayer,T1,T1
xccurate,T1,T1
iZu,T1,T1
Alfajer,FNATIC,FNC
