event_name,playernames,kills,death,assist,firstkill,acs,hsp,adr,apr,kpr,kdr
Champions Tour 2024: Masters Madrid,N4RRATE,132,104,65,19,245.7,0.26,163.7,0.41,0.84,1.27
Champions Tour 2024: Masters Madrid,Less,195,148,80,23,213.2,0.3,155.1,0.32,0.78,1.32
Champions Tour 2024: Masters Madrid,tuyz,186,144,80,13,190.4,0.3,128,0.32,0.74,1.29
Champions Tour 2024: Masters Madrid,MiniBoo,114,92,37,22,245,0.31,153.6,0.28,0.88,1.24
Champions Tour 2024: Masters Madrid,RieNs,103,90,44,14,230.3,0.36,157.3,0.34,0.79,1.14
Champions Tour 2024: Masters Madrid,zekken,381,314,90,96,259.5,0.22,167.1,0.21,0.9,1.21
Champions Tour 2024: Masters Madrid,johnqt,293,251,117,36,198.1,0.24,130.9,0.28,0.7,1.17
Champions Tour 2024: Masters Madrid,cauanzin,195,178,72,24,223.3,0.25,143.1,0.29,0.78,1.1
Champions Tour 2024: Masters Madrid,Munchkin,220,201,131,20,189.6,0.22,125.5,0.4,0.67,1.09
Champions Tour 2024: Masters Madrid,TenZ,314,300,226,36,208.2,0.29,131.2,0.54,0.75,1.05
Champions Tour 2024: Masters Madrid,Karon,242,229,119,32,207.3,0.29,140.4,0.36,0.74,1.06
Champions Tour 2024: Masters Madrid,something,274,254,79,54,212.6,0.25,136.6,0.22,0.75,1.08
Champions Tour 2024: Masters Madrid,Meteor,268,236,61,40,230,0.29,152,0.19,0.82,1.14
Champions Tour 2024: Masters Madrid,t3xture,264,246,53,54,224.1,0.24,144.3,0.16,0.8,1.07
Champions Tour 2024: Masters Madrid,MAGNUM,106,106,45,15,195.1,0.23,129.3,0.29,0.68,1
Champions Tour 2024: Masters Madrid,benjyfishy,101,90,30,14,216.8,0.29,140.4,0.23,0.78,1.12
Champions Tour 2024: Masters Madrid,saadhak,162,163,94,22,191.3,0.17,128.1,0.38,0.65,0.99
Champions Tour 2024: Masters Madrid,f0rsakeN,273,268,132,44,216.5,0.3,140.4,0.36,0.75,1.02
Champions Tour 2024: Masters Madrid,marteen,118,116,32,25,214.6,0.24,138.4,0.2,0.75,1.02
Champions Tour 2024: Masters Madrid,Zellsis,263,282,172,26,188.4,0.19,121.9,0.41,0.62,0.93
Champions Tour 2024: Masters Madrid,Autumn,68,71,16,19,231.8,0.28,154.5,0.19,0.79,0.96
Champions Tour 2024: Masters Madrid,ZmjjKK,135,125,39,29,252,0.25,164.3,0.25,0.88,1.08
Champions Tour 2024: Masters Madrid,Smoggy,110,111,56,14,194.4,0.29,127.9,0.36,0.71,0.99
Champions Tour 2024: Masters Madrid,d4v41,234,259,143,16,182.3,0.28,121.5,0.39,0.64,0.9
Champions Tour 2024: Masters Madrid,Sacy,249,289,169,25,173.8,0.24,113.6,0.4,0.59,0.86
Champions Tour 2024: Masters Madrid,sh1n,101,103,56,9,178,0.3,109.9,0.36,0.64,0.98
Champions Tour 2024: Masters Madrid,Quick,193,187,39,41,218.5,0.31,140.6,0.16,0.77,1.03
Champions Tour 2024: Masters Madrid,Life,71,68,10,13,230.8,0.39,157.6,0.12,0.83,1.04
Champions Tour 2024: Masters Madrid,Boo,79,91,47,5,162.3,0.32,104.4,0.36,0.61,0.87
Champions Tour 2024: Masters Madrid,Monyet,250,289,110,45,199.6,0.24,129.9,0.3,0.68,0.87
Champions Tour 2024: Masters Madrid,nobody,92,112,40,11,173.1,0.33,124.1,0.26,0.6,0.82
Champions Tour 2024: Masters Madrid,Lakia,177,228,87,21,153.1,0.24,104.1,0.27,0.54,0.78
Champions Tour 2024: Masters Madrid,CHICHOO,93,115,36,11,169,0.29,119.6,0.23,0.6,0.81
Champions Tour 2024: Masters Madrid,paTiTek,61,94,63,12,149.8,0.16,100.1,0.48,0.47,0.65
Champions Tour 2024: Masters Madrid,mindfreak,217,258,83,12,162.8,0.37,108.4,0.23,0.59,0.84
Champions Tour 2024: Masters Madrid,Lysoar,44,61,17,5,152.8,0.3,110.8,0.2,0.51,0.72
Champions Tour 2024: Masters Madrid,tomaszy,73,110,46,7,138.7,0.32,98.5,0.29,0.46,0.66
Champions Tour 2024: Masters Madrid,Haodong,83,115,41,10,152.3,0.27,110.2,0.27,0.54,0.72
Champions Tour 2024: Masters Madrid,BerLIN,46,66,27,11,150,0.36,99,0.31,0.53,0.7
Champions Tour 2024: Masters Madrid,AAAAY,48,70,23,1,161,0.31,112.1,0.27,0.56,0.69
Champions Tour 2024: Masters Shanghai,Boo,320,306,207,42,177.6,0,110.2,0.42,0.65,1.05
Champions Tour 2024: Masters Shanghai,nobody,44,63,23,5,159,0,102.9,0.29,0.56,0.7
Champions Tour 2024: Masters Shanghai,Meteor,326,267,51,43,230.8,0,150.8,0.13,0.84,1.22
Champions Tour 2024: Masters Shanghai,Karon,270,238,175,22,193.2,0,125.9,0.45,0.7,1.13
Champions Tour 2024: Masters Shanghai,C0M,81,111,42,11,146,0,96,0.26,0.5,0.73
Champions Tour 2024: Masters Shanghai,tex,125,108,37,12,219.8,0,145.7,0.23,0.77,1.16
Champions Tour 2024: Masters Shanghai,Mazino,119,118,59,14,199.3,0,135.8,0.36,0.73,1.01
Champions Tour 2024: Masters Shanghai,aspas,137,117,28,34,237.8,0,158,0.17,0.85,1.17
Champions Tour 2024: Masters Shanghai,kiNgg,121,115,52,14,210.1,0,140.7,0.32,0.75,1.05
Champions Tour 2024: Masters Shanghai,Jinggg,132,134,36,15,217.5,0,151.7,0.21,0.77,0.99
Champions Tour 2024: Masters Shanghai,mindfreak,110,121,55,11,180.4,0,120.7,0.32,0.64,0.91
Champions Tour 2024: Masters Shanghai,f0rsakeN,114,128,74,13,189,0,122,0.43,0.67,0.89
Champions Tour 2024: Masters Shanghai,d4v41,117,114,55,8,182.5,0,128.4,0.32,0.68,1.03
Champions Tour 2024: Masters Shanghai,something,138,123,49,34,237.8,0,152.2,0.29,0.81,1.12
Champions Tour 2024: Masters Shanghai,ZmjjKK,63,69,12,13,243,0,154.1,0.15,0.81,0.91
Champions Tour 2024: Masters Shanghai,Munchkin,239,244,151,23,177.6,0,119.5,0.39,0.62,0.98
Champions Tour 2024: Masters Shanghai,Haodong,35,65,16,9,136,0,83.6,0.21,0.45,0.54
Champions Tour 2024: Masters Shanghai,Smoggy,64,58,20,7,237,0,156.4,0.26,0.82,1.1
Champions Tour 2024: Masters Shanghai,CHICHOO,51,58,20,4,186.5,0,122.4,0.26,0.65,0.88
Champions Tour 2024: Masters Shanghai,Asuna,131,134,57,22,202.8,0,135.3,0.3,0.7,0.98
Champions Tour 2024: Masters Shanghai,Boostio,125,137,37,19,183,0,125.1,0.2,0.66,0.91
Champions Tour 2024: Masters Shanghai,eeiu,124,124,47,10,188.9,0,124.5,0.25,0.66,1
Champions Tour 2024: Masters Shanghai,bang,131,130,47,18,200.2,0,133.8,0.25,0.7,1.01
Champions Tour 2024: Masters Shanghai,Cryocells,146,137,48,22,219.2,0,140.2,0.26,0.78,1.07
Champions Tour 2024: Masters Shanghai,Boaster,59,91,39,10,137,0,95.4,0.31,0.47,0.65
Champions Tour 2024: Masters Shanghai,Chronicle,74,91,41,8,172.5,0,118.1,0.33,0.59,0.81
Champions Tour 2024: Masters Shanghai,Leo,81,80,45,4,186.3,0,124.6,0.36,0.65,1.01
Champions Tour 2024: Masters Shanghai,Derke,108,92,29,22,258.5,0,165.3,0.23,0.86,1.17
Champions Tour 2024: Masters Shanghai,t3xture,328,272,55,84,241.2,0,148.2,0.14,0.85,1.21
Champions Tour 2024: Masters Shanghai,Lakia,256,243,131,31,188.9,0,126.3,0.34,0.66,1.05
Champions Tour 2024: Masters Shanghai,RieNs,362,317,191,31,207.8,0,137.5,0.39,0.74,1.14
Champions Tour 2024: Masters Shanghai,Lysoar,109,145,47,13,148.4,0,104.1,0.22,0.52,0.75
Champions Tour 2024: Masters Shanghai,paTiTek,338,323,201,44,198.6,0,131.4,0.41,0.69,1.05
Champions Tour 2024: Masters Shanghai,Wo0t,427,352,85,118,248,0,158.5,0.17,0.87,1.21
Champions Tour 2024: Masters Shanghai,benjyfishy,353,319,99,46,196,0,131.2,0.2,0.72,1.11
Champions Tour 2024: Masters Shanghai,vo0kashu,63,63,26,5,223.5,0,156.2,0.31,0.74,1
Champions Tour 2024: Masters Shanghai,nizhaoTZH,67,64,21,6,209.3,0,141,0.25,0.79,1.05
Champions Tour 2024: Masters Shanghai,TvirusLuke,55,74,15,15,202,0,154.6,0.18,0.65,0.74
Champions Tour 2024: Masters Shanghai,Nicc,50,63,24,5,183,0,121.1,0.28,0.59,0.79
Champions Tour 2024: Masters Shanghai,Shion7,36,65,18,3,122.5,0,93.7,0.21,0.42,0.55
Champions Tour 2024: Masters Shanghai,Autumn,140,142,72,12,193.6,0,130.8,0.34,0.66,0.99
Champions Tour 2024: Masters Shanghai,Life,174,173,45,34,239.2,0,154.5,0.21,0.82,1.01
Champions Tour 2024: Masters Shanghai,BerLIN,153,150,70,30,212,0,141.9,0.33,0.73,1.02
Champions Tour 2024: Masters Shanghai,AAAAY,156,143,40,16,191.2,0,130.1,0.19,0.74,1.09
Champions Tour 2024: Masters Shanghai,cNed,235,233,60,45,216,0,148.4,0.2,0.77,1.01
Champions Tour 2024: Masters Shanghai,Carpe,73,71,29,8,196.2,0,131.9,0.28,0.71,1.03
Champions Tour 2024: Masters Shanghai,qRaxs,198,222,115,18,181.2,0,118.4,0.38,0.65,0.89
Champions Tour 2024: Masters Shanghai,AtaKaptan,209,229,105,22,192.5,0,120.8,0.34,0.69,0.91
Champions Tour 2024: Masters Shanghai,MrFaliN,186,222,126,19,173.9,0,116.5,0.41,0.61,0.84
Champions Tour 2024: Masters Shanghai,yetujey,205,206,63,29,189.4,0,127.2,0.21,0.67,1
Champions Tour 2024: Masters Shanghai,valyn,222,241,124,20,178.4,0,117.1,0.36,0.65,0.92
Champions Tour 2024: Masters Shanghai,JonahP,246,245,121,25,203.3,0,128.9,0.35,0.72,1
Champions Tour 2024: Masters Shanghai,leaf,248,254,79,37,208.2,0,140.3,0.23,0.72,0.98
Champions Tour 2024: Masters Shanghai,icy,232,258,84,55,196.1,0,131.5,0.24,0.67,0.9
Champions Tour 2024: Masters Shanghai,trent,212,248,111,31,184.1,0,120,0.32,0.62,0.85
Champions Tour 2024: Masters Shanghai,Rossy,77,67,28,6,217.6,0,130.8,0.27,0.75,1.15
Champions Tour 2024: Masters Shanghai,Sayaplayer,64,77,17,7,173.6,0,121.3,0.17,0.62,0.83
Champions Tour 2024: Masters Shanghai,xccurate,69,78,19,9,180.2,0,114.9,0.18,0.67,0.88
Champions Tour 2024: Masters Shanghai,iZu,74,89,30,18,210.8,0,134,0.29,0.72,0.83
Champions Tour 2024: Masters Shanghai,Alfajer,98,89,28,15,221.5,0,150.3,0.22,0.78,1.1
