teamname,teamnameabr,playername
Karmine Corp,KC,N4RRATE
LOUD,LOUD,Less
LOUD,LOUD,tuyz
Team Heretics,TH,MiniBoo
Team Heretics,TH,RieNs
Sentinels,SEN,zekken
Sentinels,SEN,johnqt
LOUD,LOUD,cauanzin
Gen.G,GEN,Munchkin
Sentinels,SEN,TenZ
Gen.G,GEN,Karon
Paper Rex,PRX,something
Gen.G,GEN,Meteor
Gen.G,GEN,t3xture
Karmine Corp,KC,MAGNUM
Team Heretics,TH,benjyfishy
LOUD,LOUD,saadhak
Paper Rex,PRX,f0rsakeN
Karmine Corp,KC,marteen
Sentinels,SEN,Zellsis
FunPlus Phoenix,FPX,Autumn
EDward Gaming,EDG,ZmjjKK
EDward Gaming,EDG,Smoggy
Paper Rex,PRX,d4v41
Sentinels,SEN,Sacy
Karmine Corp,KC,sh1n
LOUD,LOUD,Quick
FunPlus Phoenix,FPX,Life
Team Heretics,TH,Boo
Paper Rex,PRX,Monyet
EDward Gaming,EDG,nobody
Gen.G,GEN,Lakia
EDward Gaming,EDG,CHICHOO
Team Heretics,TH,paTiTek
Paper Rex,PRX,mindfreak
FunPlus Phoenix,FPX,Lysoar
Karmine Corp,KC,tomaszy
EDward Gaming,EDG,Haodong
FunPlus Phoenix,FPX,BerLIN
FunPlus Phoenix,FPX,AAAAY
Team Heretics,TH,Boo
EDward Gaming,EDG,nobody
Gen.G,GEN,Meteor
Gen.G,GEN,Karon
LEVIATÁN,LEV,C0M
LEVIATÁN,LEV,tex
LEVIATÁN,LEV,Mazino
LEVIATÁN,LEV,aspas
LEVIATÁN,LEV,kiNgg
Paper Rex,PRX,Jinggg
Paper Rex,PRX,mindfreak
Paper Rex,PRX,f0rsakeN
Paper Rex,PRX,d4v41
Paper Rex,PRX,something
EDward Gaming,EDG,ZmjjKK
Gen.G,GEN,Munchkin
EDward Gaming,EDG,Haodong
EDward Gaming,EDG,Smoggy
EDward Gaming,EDG,CHICHOO
100 Thieves,100T,Asuna
100 Thieves,100T,Boostio
100 Thieves,100T,eeiu
100 Thieves,100T,bang
100 Thieves,100T,Cryocells
FNATIC,FNC,Boaster
FNATIC,FNC,Chronicle
FNATIC,FNC,Leo
FNATIC,FNC,Derke
Gen.G,GEN,t3xture
Gen.G,GEN,Lakia
Team Heretics,TH,RieNs
FunPlus Phoenix,FPX,Lysoar
Team Heretics,TH,paTiTek
Team Heretics,TH,Wo0t
Team Heretics,TH,benjyfishy
Dragon Ranger Gaming,DRG,vo0kashu
Dragon Ranger Gaming,DRG,nizhaoTZH
Dragon Ranger Gaming,DRG,TvirusLuke
Dragon Ranger Gaming,DRG,Nicc
Dragon Ranger Gaming,DRG,Shion7
FunPlus Phoenix,FPX,Autumn
FunPlus Phoenix,FPX,Life
FunPlus Phoenix,FPX,BerLIN
FunPlus Phoenix,FPX,AAAAY
FUT Esports,FUT,cNed
T1,T1,Carpe
FUT Esports,FUT,qRaxs
FUT Esports,FUT,AtaKaptan
FUT Esports,FUT,MrFaliN
FUT Esports,FUT,yetujey
G2 Esports,G2,valyn
G2 Esports,G2,JonahP
G2 Esports,G2,leaf
G2 Esports,G2,icy
G2 Esports,G2,trent
T1,T1,Rossy
T1,T1,Sayaplayer
T1,T1,xccurate
T1,T1,iZu
FNATIC,FNC,Alfajer
